epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,509.865,1.12255,0.5144,0.99202,0.93063,0.89745,0.95809,0.60444,1.35102,0.57396,1.08348,0.000848969,0.000848969,0.000848969
43,522.247,1.07328,0.492,0.98853,0.92433,0.90215,0.96037,0.60521,1.36703,0.57403,1.0883,0.000834822,0.000834822,0.000834822
44,537.709,1.09635,0.50431,0.98046,0.89999,0.91261,0.96263,0.61446,1.36984,0.5873,1.09015,0.000820675,0.000820675,0.000820675
45,550.424,1.10102,0.50791,1.0043,0.91086,0.9274,0.96511,0.62709,1.36828,0.59229,1.08778,0.000806528,0.000806528,0.000806528
46,563.877,1.07255,0.49971,0.9791,0.94088,0.91877,0.96211,0.62544,1.35647,0.58559,1.08505,0.00079238,0.00079238,0.00079238
47,577.363,1.10112,0.50395,0.98917,0.9043,0.91151,0.95642,0.60842,1.36829,0.58202,1.08886,0.000778233,0.000778233,0.000778233
48,590.15,1.06077,0.49334,0.9758,0.9287,0.90479,0.9537,0.6157,1.36329,0.56347,1.08792,0.000764086,0.000764086,0.000764086
49,604.992,1.05955,0.49469,0.98335,0.9663,0.92139,0.9659,0.62861,1.36077,0.55518,1.08175,0.000749939,0.000749939,0.000749939
50,621.064,1.08199,0.49946,0.98343,0.92022,0.94002,0.97395,0.62209,1.35721,0.55135,1.08625,0.000735792,0.000735792,0.000735792
51,634.239,1.09368,0.50075,0.99374,0.92196,0.92297,0.96264,0.6163,1.34184,0.54479,1.07258,0.000721645,0.000721645,0.000721645
52,644.35,1.05657,0.48405,0.97349,0.92935,0.92348,0.96592,0.62469,1.34917,0.53698,1.07245,0.000707498,0.000707498,0.000707498
53,658.45,1.03165,0.47606,0.96349,0.93884,0.93581,0.96582,0.6237,1.36356,0.55091,1.07765,0.000693351,0.000693351,0.000693351
54,673.857,1.05171,0.47889,0.96928,0.95271,0.91558,0.96064,0.62125,1.34297,0.54456,1.07947,0.000679204,0.000679204,0.000679204
55,688.134,1.07208,0.48449,0.98412,0.93407,0.92167,0.96231,0.62772,1.32858,0.54099,1.0707,0.000665057,0.000665057,0.000665057
56,697.184,1.06266,0.48315,0.9799,0.91228,0.9322,0.96991,0.63729,1.35191,0.54562,1.07411,0.000650909,0.000650909,0.000650909
57,713.258,1.04544,0.47807,0.97791,0.93284,0.9322,0.95713,0.61775,1.35984,0.55348,1.07994,0.000636762,0.000636762,0.000636762
58,727.874,1.02372,0.46756,0.9434,0.92403,0.92293,0.95838,0.59503,1.35569,0.55318,1.07671,0.000622615,0.000622615,0.000622615
59,743.214,1.04733,0.47365,0.98053,0.92793,0.92441,0.95614,0.59454,1.34016,0.55687,1.07418,0.000608468,0.000608468,0.000608468
60,759.344,1.00339,0.45909,0.96324,0.93437,0.93545,0.96061,0.61148,1.32168,0.54537,1.06953,0.000594321,0.000594321,0.000594321
61,768.698,1.03461,0.46413,0.97443,0.92948,0.92923,0.95937,0.60471,1.36403,0.55451,1.08802,0.000580174,0.000580174,0.000580174
62,779.659,1.04399,0.47015,0.98002,0.93141,0.92678,0.95567,0.61271,1.36327,0.55973,1.0831,0.000566027,0.000566027,0.000566027
63,789.539,1.01797,0.46742,0.95519,0.92406,0.94078,0.96323,0.62858,1.32218,0.54151,1.07216,0.00055188,0.00055188,0.00055188
64,801.988,0.99076,0.45685,0.95728,0.92649,0.93456,0.96478,0.63222,1.32787,0.53171,1.07396,0.000537733,0.000537733,0.000537733
65,814.329,0.99442,0.45661,0.95752,0.92535,0.92672,0.9645,0.62988,1.35471,0.54245,1.08432,0.000523586,0.000523586,0.000523586
66,826.455,1.02315,0.47,0.95198,0.92416,0.96046,0.97669,0.62599,1.35654,0.53631,1.08122,0.000509438,0.000509438,0.000509438
67,836.878,1.0026,0.4582,0.961,0.96214,0.95697,0.98089,0.6402,1.34149,0.51594,1.07276,0.000495291,0.000495291,0.000495291
68,847.013,0.99334,0.45616,0.95594,0.94735,0.94683,0.97271,0.64265,1.3434,0.52309,1.07609,0.000481144,0.000481144,0.000481144
